00001	¡Intentemos algo!	我们试试看！
00002	Tengo que irme a dormir.	我该去睡觉了。
00003	¿Qué estás haciendo?	你在干什么啊？ / 你现在在做什么？ / 你在干什么？ / 你做什么？
00004	¿Qué es eso?	这是什么啊？ / 那是什么？
00005	¡Hoy es 18 de junio y es el cumpleaños de Muiriel!	今天是６月１８号，也是Muiriel的生日！
00006	¡Feliz cumpleaños, Muiriel!	生日快乐，Muiriel！
00007	Ahora, Muiriel tiene 20 años.	Muiriel现在20岁了。
00008	La contraseña es "Muiriel".	密码是"Muiriel"。
00009	Volveré pronto.	我很快就会回来。
00010	No tengo palabras.	我不知道应该说什么才好。
00011	Esto no acabará nunca.	这个永远完不了了。 / 这个永远结束不了。
00012	Simplemente no sé qué decir...	我只是不知道应该说什么而已…… / 我就是不知道说些什么。
00013	Era un conejo malo.	那是一只有恶意的兔子。
00014	Yo estaba en las montañas.	我以前在山里。
00015	¿Es una foto reciente?	那是一张近照吗？
00016	No sé si tengo tiempo.	我不知道我有没有时间。
00017	Por alguna razón, el micrófono no había funcionado hasta entonces.	刚才我的麦克风没起作用，不知道为什么。
00018	Todo el mundo debe aprender por sí mismo al final.	到了最后，大家一定要靠自己学习。
00019	La educación en este mundo me decepciona.	世界上的教育都让我失望。
00020	El aprendizaje no debe ser forzado, sino estimulado.	学习不该被强迫，而是该被鼓励。
00021	Es una tarea difícil elegir qué está "bien" o "mal", pero has de hacerlo.	选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。
00022	Eso no va a cambiar nada.	这样做的话什么都不会改变的。
00023	Eso va a costar 30 €.	这个要三十欧元。
00024	Gano 100 € al día.	我一天赚一百欧元。
00025	Quizás me dé pronto por vencido y en lugar de eso me eche una siesta.	也许我会马上放弃然后去打盹。
00026	Eso es porque no quieres estar solo.	他是因为不想一个人待着。
00027	Eso no va a pasar.	那是不会发生的。
00028	Me voy a esforzar por no molestarte en tus estudios.	我会尽量不打扰你复习。
00029	Sólo puedo preguntarme si acaso es lo mismo para todos los demás.	我只能问自己这对其他所有人是不是一回事呢。
00030	No te preocupes.	不要担心。 / 别担心。
00031	Los llamaré cuando regrese mañana.	我明天回来的时候会跟他们联络。
00032	Siempre me gustaron más los personajes misteriosos.	我一直都比较喜欢神秘一点的人物。 / 我一直都喜欢神秘的人物。
00033	Deberías dormir.	你应该去睡觉了吧。
00034	Les dije que me mandaran otro boleto.	我请他们再寄给我一张票。
00035	No puedo vivir así.	我不能这样活着。 / 我无法这样生活。
00036	Una vez quise ser astrofísico.	我曾经想过当个太空物理学家。
00037	Nunca me gustó la biología.	我从来没喜欢过生物学。
00038	Desafortunadamente es verdad.	可惜这是真的。
00039	La mayoría de la gente cree que estoy loco.	大部份的人觉得我疯了。
00040	¡No, no lo soy! ¡Lo eres tú!	不，我不是！你才是！
00041	¡Esa es mi frase!	那是我该说的话!
00042	¡¡Él está pateándome!!	他在踢我！
00043	¿Estás seguro?	你肯定吗？
00044	Entonces tenemos un problema...	那就表示有问题...
00045	¡Ah, allí hay una mariposa!	哦！有一只蝴蝶！ / 啊，那里有只蝴蝶！
00046	¡Date prisa!	赶快! / 快点！
00047	Si yo pudiera ser así...	如果我可以像那样的话...
00048	¡¿Acaso te quieres burlar de mí?!	你是在跟我开玩笑吧？！
